OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_4155	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_4149	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	?
OTU_4093	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Parvimonas	Parvimonas micra
OTU_4078	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_4073	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_3970	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_3966	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_3957	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. X2
OTU_3948	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_3941	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	?	?
OTU_3932	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_3864	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	gut metagenome
OTU_3844	Bacteria	Firmicutes	?	?	?	?	?
OTU_3832	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	?
OTU_3791	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU_3755	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
OTU_3713	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	?	OTU693|NN=Christensenella_minuta_AB490809|D=86.6
OTU_3707	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_3648	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	uncultured Firmicutes bacterium
OTU_3594	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	?	?
OTU_3520	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_3518	Bacteria	?	?	?	?	?	?
OTU_3513	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	?	?
OTU_3510	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_3452	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_3440	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	?	?	?
OTU_3717	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	OTU968|NN=Oscillospira[Pseudoflavonifractor]_capillosus_AY136666|D=95.7
OTU_3429	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_3399	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Methyloversatilis	Methyloversatilis sp. cd-1
OTU_3360	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	gut metagenome
OTU_3798	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_3347	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
