	OTU	Taxonomy	SampleID	ModifiedSampleID	Value
4962	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL4	SMPL4_1_after	0
4963	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL24	SMPL24_3_after	0
4964	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL66	SMPL66_1_before	0
4965	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL67	SMPL67_4_before	0
4966	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL76	SMPL76_3_before	0
4967	OTU209	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL92	SMPL92_4_after	0
5244	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL4	SMPL4_1_after	0
5245	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL24	SMPL24_3_after	0
5246	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL66	SMPL66_1_before	0
5247	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL67	SMPL67_4_before	0
5248	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL76	SMPL76_3_before	0
5249	OTU115	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_?	SMPL92	SMPL92_4_after	0
