	OTU	Taxonomy	SampleID	GROUP	Value
64	OTU4155	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL64	yes	2
122	OTU4149	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus 1|s_?	SMPL10	no	2
245	OTU4093	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XI|g_Parvimonas|s_Parvimonas micra	SMPL21	yes	2
372	OTU4078	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL36	no	1
374	OTU4078	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL38	no	1
459	OTU4073	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL11	no	2
600	OTU3970	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL40	no	2
695	OTU3966	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL23	yes	2
794	OTU3957	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL10	no	1
806	OTU3957	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL22	yes	1
971	OTU3948	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL75	yes	1
987	OTU3948	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL91	yes	1
1112	OTU3941	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_?|s_?	SMPL103	no	2
1158	OTU3932	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL38	no	2
1267	OTU3864	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae NK4A214 group|s_gut metagenome	SMPL35	no	2
1408	OTU3844	d_Bacteria|p_Firmicutes|c_?|o_?|f_?|g_?|s_?	SMPL64	yes	1
1409	OTU3844	d_Bacteria|p_Firmicutes|c_?|o_?|f_?|g_?|s_?	SMPL65	no	1
1520	OTU3832	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_?	SMPL64	yes	2
